movieId,iIdx
296,0
306,1
307,2
665,3
899,4
1088,5
1175,6
1217,7
1237,8
1250,9
1260,10
1653,11
2011,12
2012,13
2068,14
2161,15
2351,16
2573,17
2632,18
2692,19
2843,20
3448,21
3569,22
3949,23
4144,24
4308,25
4325,26
4422,27
4703,28
4973,29
5147,30
5269,31
5684,32
5767,33
5878,34
5912,35
5952,36
6016,37
6370,38
6377,39
6539,40
6711,41
6954,42
7209,43
7234,44
7318,45
7323,46
7327,47
7361,48
7365,49
7820,50
7937,51
7938,52
7939,53
7940,54
8014,55
8154,56
8327,57
8360,58
8405,59
8685,60
8729,61
8786,62
8873,63
8973,64
27193,65
27266,66
27721,67
31956,68
32591,69
1,70
62,71
110,72
150,73
151,74
236,75
260,76
261,77
266,78
318,79
333,80
349,81
356,82
364,83
380,84
457,85
480,86
497,87
524,88
527,89
534,90
553,91
588,92
589,93
653,94
733,95
858,96
914,97
953,98
1035,99
1080,100
1136,101
1196,102
1197,103
1198,104
1201,105
1210,106
1246,107
1257,108
1270,109
1271,110
1275,111
1283,112
1287,113
1291,114
1293,115
1299,116
1302,117
1356,118
1374,119
1376,120
1393,121
1431,122
1465,123
1485,124
1488,125
1527,126
1580,127
1584,128
1587,129
1610,130
1672,131
1674,132
1682,133
1693,134
1722,135
1873,136
1907,137
1923,138
1957,139
1968,140
2028,141
2081,142
2083,143
2115,144
2138,145
2139,146
2150,147
2194,148
2268,149
2273,150
2294,151
2324,152
2355,153
2359,154
2406,155
2470,156
2496,157
2501,158
2571,159
2617,160
2640,161
2643,162
2694,163
2720,164
2745,165
2761,166
2762,167
2797,168
2918,169
2987,170
3098,171
3105,172
3107,173
3114,174
3148,175
3175,176
3360,177
3396,178
3479,179
3510,180
3578,181
3793,182
3889,183
3916,184
3948,185
3994,186
4016,187
4019,188
4022,189
4023,190
4103,191
4299,192
4306,193
4535,194
4571,195
4720,196
4857,197
4874,198
4886,199
4896,200
4963,201
4993,202
4995,203
5010,204
5103,205
5349,206
5418,207
5445,208
5574,209
5816,210
5955,211
6156,212
6157,213
6213,214
6287,215
6311,216
6333,217
6565,218
6753,219
6879,220
6947,221
7004,222
7007,223
7075,224
7090,225
7143,226
7153,227
7162,228
7386,229
7624,230
8010,231
8368,232
8636,233
8665,234
8958,235
8961,236
8970,237
27821,238
30749,239
30848,240
31923,241
33166,242
33493,243
33660,244
33794,245
34162,246
35836,247
36527,248
40815,249
29,250
32,251
50,252
111,253
172,254
173,255
214,256
293,257
442,258
541,259
593,260
741,261
745,262
778,263
780,264
912,265
913,266
924,267
1089,268
1127,269
1148,270
1200,271
1206,272
1208,273
1213,274
1214,275
1221,276
1222,277
1240,278
1252,279
1274,280
1320,281
1676,282
1732,283
1748,284
1882,285
1909,286
1960,287
2019,288
2021,289
2105,290
2329,291
2542,292
2628,293
2641,294
2858,295
2938,296
2959,297
3091,298
3156,299
3285,300
3300,301
3301,302
3328,303
3408,304
3452,305
3471,306
3484,307
3527,308
3534,309
3535,310
3646,311
3702,312
3730,313
3744,314
3745,315
3751,316
3753,317
3755,318
3785,319
3798,320
3825,321
3827,322
3863,323
3879,324
3968,325
3969,326
3977,327
3979,328
3980,329
3986,330
3988,331
3991,332
3993,333
3996,334
3999,335
4011,336
4018,337
4025,338
4027,339
4034,340
4069,341
4148,342
4167,343
4226,344
4232,345
4234,346
4246,347
4262,348
4340,349
4343,350
4344,351
4366,352
4367,353
4368,354
4369,355
4383,356
4388,357
4447,358
4448,359
4643,360
4701,361
4718,362
4776,363
4816,364
4844,365
4866,366
4887,367
4901,368
4958,369
4975,370
4979,371
4992,372
5004,373
5013,374
5014,375
5108,376
5218,377
5219,378
5225,379
5254,380
5266,381
5291,382
5293,383
5313,384
5364,385
5377,386
5378,387
5388,388
5400,389
5449,390
5459,391
5479,392
5502,393
5507,394
5528,395
5630,396
5669,397
5679,398
5782,399
5785,400
5810,401
5853,402
5872,403
5900,404
5903,405
5944,406
5945,407
5954,408
5956,409
5959,410
5989,411
5991,412
6059,413
6155,414
6281,415
6283,416
6323,417
6365,418
6373,419
6378,420
6383,421
6440,422
6482,423
6502,424
6534,425
6535,426
6537,427
6541,428
6548,429
6550,430
6564,431
6586,432
6595,433
6708,434
6754,435
6863,436
6870,437
6873,438
6874,439
6934,440
6952,441
7147,442
7149,443
7154,444
7163,445
7293,446
7325,447
7346,448
7347,449
7373,450
7438,451
7439,452
7445,453
7454,454
7458,455
8361,456
8370,457
8371,458
8528,459
8529,460
8641,461
8644,462
8666,463
8781,464
8783,465
8798,466
8810,467
8861,468
8865,469
8874,470
8965,471
8969,472
8983,473
8984,474
8985,475
27134,476
27660,477
27706,478
27728,479
27773,480
27793,481
27803,482
27808,483
30707,484
30793,485
30825,486
31184,487
31221,488
31685,489
31696,490
31804,491
31878,492
32587,493
33004,494
33615,495
33679,496
34048,497
34150,498
34319,499
34405,500
34437,501
36519,502
36529,503
37386,504
37727,505
37729,506
37741,507
39435,508
40583,509
40819,510
41566,511
41569,512
42738,513
43928,514
44022,515
44191,516
45186,517
45447,518
45499,519
45501,520
45517,521
45666,522
45672,523
45722,524
46335,525
46578,526
46965,527
46970,528
46972,529
47200,530
47610,531
48385,532
48394,533
48516,534
48738,535
48774,536
48780,537
49272,538
49274,539
49278,540
49530,541
49822,542
50068,543
50872,544
51255,545
51662,546
51935,547
52604,548
52722,549
52950,550
53121,551
53125,552
53129,553
53464,554
53972,555
53996,556
54001,557
54286,558
54503,559
54648,560
54997,561
55232,562
55765,563
55805,564
55820,565
56145,566
56156,567
56171,568
56174,569
56587,570
56782,571
56949,572
57368,573
57528,574
57640,575
57669,576
58025,577
58559,578
59315,579
59369,580
59501,581
59615,582
59784,583
59900,584
60040,585
60069,586
60072,587
60074,588
60126,589
60684,590
60756,591
60760,592
61132,593
61160,594
61248,595
61323,596
61350,597
62849,598
62999,599
63062,600
63072,601
63113,602
63859,603
63876,604
64030,605
64614,606
64839,607
64957,608
65514,609
65682,610
66097,611
67255,612
67923,613
68157,614
68319,615
68358,616
68554,617
68791,618
68793,619
68952,620
69122,621
69481,622
69526,623
69640,624
69844,625
70286,626
70293,627
70305,628
70336,629
71057,630
71156,631
71464,632
71530,633
71535,634
72011,635
72209,636
72378,637
72641,638
72701,639
72998,640
73017,641
73268,642
73321,643
73323,644
74458,645
74789,646
76077,647
76093,648
76251,649
77561,650
78469,651
78499,652
79091,653
79132,654
79224,655
79293,656
79695,657
80363,658
80463,659
81229,660
81537,661
81564,662
81591,663
81834,664
81845,665
82095,666
82202,667
82461,668
83349,669
83613,670
84152,671
84772,672
84954,673
85020,674
85056,675
85131,676
85261,677
85414,678
86332,679
86644,680
86880,681
86911,682
87232,683
87306,684
87430,685
87520,686
87876,687
88125,688
88140,689
88405,690
88744,691
89492,692
89745,693
89753,694
90249,695
90866,696
91500,697
91529,698
91542,699
91630,700
91658,701
91974,702
91976,703
93363,704
93805,705
94018,706
94677,707
94777,708
94864,709
95441,710
95510,711
95875,712
96079,713
96610,714
96691,715
96737,716
96861,717
97225,718
97306,719
97921,720
97923,721
98809,722
99112,723
99114,724
101864,725
102125,726
102407,727
102445,728
102686,729
102716,730
102880,731
102903,732
103075,733
103141,734
103228,735
103249,736
103253,737
103384,738
103772,739
103810,740
104241,741
104243,742
104841,743
105213,744
106002,745
106072,746
106100,747
106487,748
106489,749
106782,750
106920,751
107348,752
107406,753
108190,754
108932,755
108945,756
109374,757
109487,758
109578,759
110102,760
110407,761
110730,762
111113,763
111360,764
111362,765
111443,766
111659,767
111759,768
112138,769
112171,770
112370,771
112552,772
112556,773
112623,774
112852,775
113345,776
114180,777
114847,778
114935,779
115569,780
115617,781
115713,782
116797,783
116823,784
116897,785
117529,786
117533,787
120466,788
122882,789
122886,790
122892,791
122896,792
122900,793
122906,794
122912,795
122914,796
122918,797
122920,798
122922,799
122924,800
129354,801
130490,802
130634,803
132046,804
134130,805
134853,806
135133,807
135143,808
135536,809
135569,810
136020,811
136449,812
136469,813
136864,814
139385,815
139644,816
140956,817
142509,818
143385,819
148626,820
148855,821
149406,822
151763,823
158238,824
158966,825
159093,826
164179,827
166528,828
166635,829
168252,830
168612,831
171763,832
175197,833
176101,834
176371,835
179819,836
182823,837
187541,838
187593,839
1036,840
1220,841
1265,842
1278,843
1288,844
2716,845
2791,846
2951,847
2985,848
2993,849
3033,850
3039,851
3624,852
3671,853
3681,854
4709,855
4974,856
5110,857
5299,858
5444,859
5618,860
7324,861
7451,862
7569,863
8914,864
38038,865
44193,866
44665,867
45431,868
46948,869
48982,870
49396,871
49649,872
50601,873
53956,874
54881,875
68954,876
71264,877
72226,878
74530,879
76175,880
77866,881
78893,882
79185,883
79702,884
83134,885
86345,886
91485,887
93510,888
93838,889
93840,890
96110,891
97304,892
97913,893
103341,894
106916,895
111781,896
115122,897
115149,898
119145,899
122904,900
127098,901
138036,902
142115,903
148426,904
152081,905
156706,906
159817,907
168248,908
171011,909
173145,910
174055,911
179401,912
182715,913
189333,914
195159,915
200818,916
200838,917
203375,918
203519,919
19,920
36,921
39,922
47,923
88,924
95,925
104,926
113,927
122,928
141,929
147,930
153,931
170,932
191,933
216,934
218,935
219,936
224,937
231,938
235,939
238,940
248,941
253,942
267,943
277,944
288,945
292,946
300,947
312,948
337,949
340,950
342,951
344,952
350,953
372,954
416,955
432,956
435,957
440,958
441,959
477,960
487,961
491,962
500,963
542,964
590,965
592,966
595,967
608,968
628,969
671,970
736,971
784,972
786,973
788,974
802,975
839,976
1016,977
1042,978
1047,979
1061,980
1073,981
1093,982
1097,983
1120,984
1194,985
1234,986
1235,987
1290,988
1344,989
1357,990
1380,991
1407,992
1409,993
161,994
902,995
919,996
1183,997
1203,998
1466,999
1704,1000
1951,1001
2396,1002
2421,1003
2815,1004
10,1005
17,1006
28,1007
58,1008
165,1009
185,1010
232,1011
265,1012
308,1013
329,1014
410,1015
3,1016
6,1017
7,1018
11,1019
16,1020
18,1021
21,1022
25,1023
27,1024
69,1025
103,1026
112,1027
125,1028
145,1029
163,1030
180,1031
198,1032
201,1033
207,1034
209,1035
223,1036
225,1037
237,1038
290,1039
316,1040
325,1041
358,1042
377,1043
428,1044
454,1045
474,1046
490,1047
494,1048
511,1049
551,1050
575,1051
594,1052
648,1053
708,1054
725,1055
750,1056
785,1057
799,1058
805,1059
875,1060
903,1061
904,1062
923,1063
1012,1064
1020,1065
1022,1066
1029,1067
1032,1068
1049,1069
1092,1070
1101,1071
1129,1072
1207,1073
1242,1074
1258,1075
1259,1076
1282,1077
1358,1078
1370,1079
1385,1080
1391,1081
1429,1082
1438,1083
1440,1084
1479,1085
1552,1086
1573,1087
1597,1088
1600,1089
1603,1090
1614,1091
1616,1092
1617,1093
1625,1094
1645,1095
1717,1096
1721,1097
1729,1098
1747,1099
1777,1100
1783,1101
2,1102
34,1103
61,1104
105,1105
116,1106
158,1107
168,1108
256,1109
273,1110
276,1111
280,1112
317,1113
355,1114
361,1115
362,1116
366,1117
370,1118
374,1119
378,1120
387,1121
419,1122
420,1123
434,1124
445,1125
455,1126
464,1127
466,1128
516,1129
519,1130
520,1131
539,1132
540,1133
585,1134
586,1135
587,1136
596,1137
597,1138
611,1139
616,1140
667,1141
818,1142
852,1143
920,1144
934,1145
938,1146
943,1147
952,1148
954,1149
968,1150
969,1151
971,1152
1005,1153
1007,1154
1008,1155
1010,1156
1011,1157
1013,1158
1014,1159
1015,1160
1017,1161
1018,1162
1019,1163
1021,1164
1023,1165
1028,1166
1030,1167
1031,1168
1079,1169
1084,1170
1090,1171
1100,1172
1124,1173
1125,1174
1126,1175
1135,1176
1204,1177
1219,1178
1225,1179
1247,1180
1262,1181
1266,1182
1298,1183
1307,1184
1321,1185
1322,1186
1326,1187
1327,1188
1328,1189
1333,1190
1343,1191
1345,1192
1347,1193
1350,1194
1367,1195
1371,1196
1372,1197
1373,1198
1375,1199
1378,1200
1379,1201
1381,1202
1387,1203
1388,1204
1389,1205
1394,1206
5060,1207
193,1208
1186,1209
1962,1210
2085,1211
2094,1212
2505,1213
2572,1214
2605,1215
2707,1216
2826,1217
2915,1218
2944,1219
3361,1220
3868,1221
4361,1222
5049,1223
5508,1224
6953,1225
7444,1226
7566,1227
52767,1228
53000,1229
53953,1230
2581,1231
2881,1232
3146,1233
4210,1234
4745,1235
5296,1236
8910,1237
33669,1238
42723,1239
48043,1240
54272,1241
20,1242
22,1243
31,1244
45,1245
48,1246
54,1247
68,1248
97,1249
101,1250
140,1251
160,1252
175,1253
176,1254
186,1255
203,1256
215,1257
222,1258
249,1259
252,1260
257,1261
268,1262
313,1263
319,1264
343,1265
351,1266
367,1267
368,1268
376,1269
413,1270
415,1271
433,1272
450,1273
471,1274
478,1275
489,1276
505,1277
508,1278
514,1279
515,1280
518,1281
528,1282
531,1283
532,1284
538,1285
543,1286
546,1287
555,1288
562,1289
603,1290
605,1291
613,1292
627,1293
663,1294
719,1295
724,1296
728,1297
765,1298
832,1299
838,1300
851,1301
880,1302
898,1303
908,1304
910,1305
911,1306
926,1307
928,1308
932,1309
1025,1310
1027,1311
1034,1312
1041,1313
1043,1314
1057,1315
1059,1316
1060,1317
1091,1318
1188,1319
1212,1320
1215,1321
1223,1322
1230,1323
1231,1324
1243,1325
1244,1326
1249,1327
1261,1328
1267,1329
1269,1330
1285,1331
1330,1332
1339,1333
1361,1334
1363,1335
1396,1336
1405,1337
1411,1338
1441,1339
1449,1340
1461,1341
1474,1342
1476,1343
1487,1344
1499,1345
1500,1346
1513,1347
1515,1348
1517,1349
1518,1350
1522,1351
1526,1352
1534,1353
1541,1354
1544,1355
1586,1356
1596,1357
1635,1358
1641,1359
1642,1360
1643,1361
1644,1362
1654,1363
1665,1364
1673,1365
1680,1366
1760,1367
1784,1368
1816,1369
1827,1370
1836,1371
1855,1372
1876,1373
1884,1374
1895,1375
1914,1376
1917,1377
1947,1378
1955,1379
1961,1380
1963,1381
1967,1382
2000,1383
2003,1384
2004,1385
2005,1386
2042,1387
2052,1388
2054,1389
2059,1390
2065,1391
2071,1392
2082,1393
2084,1394
2087,1395
2096,1396
2100,1397
2108,1398
2112,1399
2124,1400
2133,1401
2137,1402
2144,1403
2145,1404
2149,1405
2174,1406
2193,1407
2245,1408
2248,1409
2249,1410
2252,1411
2253,1412
2279,1413
2291,1414
2302,1415
2318,1416
2321,1417
2327,1418
2336,1419
2356,1420
2369,1421
2371,1422
2374,1423
2375,1424
2381,1425
2383,1426
2390,1427
2393,1428
2395,1429
2413,1430
2420,1431
2422,1432
2423,1433
2424,1434
2431,1435
2437,1436
2447,1437
2459,1438
2460,1439
2468,1440
2469,1441
2478,1442
2481,1443
2482,1444
2500,1445
2552,1446
2580,1447
2599,1448
2657,1449
2671,1450
2683,1451
2693,1452
2699,1453
2706,1454
2710,1455
2718,1456
2733,1457
2739,1458
2746,1459
2770,1460
2788,1461
2794,1462
2796,1463
2798,1464
2804,1465
2822,1466
2863,1467
2871,1468
2877,1469
2888,1470
2901,1471
2902,1472
2908,1473
2927,1474
2946,1475
2947,1476
2948,1477
2950,1478
2953,1479
2967,1480
2973,1481
2997,1482
3020,1483
3034,1484
3044,1485
