iIdx,jIdx,sim
9049,15922,1.000000
9049,12352,1.000000
9049,12392,0.998404
9049,9970,0.994783
9049,10322,0.989827
9049,10154,0.989187
9049,12164,0.988391
9049,9264,0.983065
9049,9751,0.976624
9049,9626,0.974391
9049,9265,0.956622
9049,9822,0.932938
9049,9586,0.924830
9049,9726,0.877382
9049,11982,0.780449
9049,14687,0.693688
4948,11539,1.000000
4948,5551,0.997541
4948,6284,0.996531
4948,5000,0.994269
4948,7733,0.992960
4948,8542,0.992895
4948,5015,0.991313
4948,6990,0.991313
4948,8313,0.990826
4948,5850,0.989949
4948,7775,0.989014
4948,9822,0.989001
4948,6181,0.987941
4948,13678,0.986815
4948,8157,0.986488
4948,8807,0.985921
4948,10161,0.985580
4948,6969,0.984732
4948,9862,0.984583
4948,9696,0.984065
18071,18205,0.995433
109,11831,1.000000
109,6752,0.999975
109,18085,0.999896
109,23009,0.999802
109,25084,0.999720
109,18276,0.999671
109,16791,0.999399
109,15783,0.999171
109,15345,0.998524
109,10316,0.998478
109,16344,0.998369
109,22665,0.998309
109,17199,0.998211
109,18245,0.998209
109,17699,0.998126
109,14758,0.998115
109,12879,0.998113
109,24061,0.998061
109,23437,0.997973
109,16072,0.997915
4870,8128,1.000000
4870,9822,0.999041
4870,5445,0.998607
4870,7101,0.998274
4870,8756,0.997587
4870,8017,0.997137
4870,7739,0.996234
4870,5272,0.996174
4870,6012,0.995958
4870,10340,0.995886
4870,5595,0.995707
4870,8221,0.995274
4870,5078,0.994987
4870,5808,0.994811
4870,8311,0.994314
4870,9274,0.994265
4870,8819,0.993808
4870,5690,0.993151
4870,5067,0.992916
4870,8157,0.992625
13962,14850,0.991748
13962,14397,0.985900
5881,9507,0.998615
5881,6041,0.998582
5881,25084,0.998319
5881,9558,0.998115
5881,13289,0.997409
5881,6969,0.997348
5881,7303,0.996941
5881,9586,0.996787
5881,7066,0.996708
5881,12133,0.996620
5881,23398,0.996116
5881,8108,0.994734
5881,10201,0.994692
5881,6705,0.993399
5881,6061,0.993151
5881,6590,0.992879
5881,6054,0.992365
5881,9274,0.992337
5881,10246,0.991522
5881,10979,0.988310
14368,14644,0.951190
14368,14687,0.899438
12838,13110,0.974554
3743,11543,0.999630
3743,17400,0.999498
3743,6948,0.999484
3743,15192,0.999420
3743,6112,0.998927
3743,7388,0.998656
3743,7709,0.998350
3743,6318,0.998313
3743,9324,0.998310
3743,10152,0.997952
3743,10006,0.997551
3743,7024,0.997241
3743,20023,0.997241
3743,5352,0.996558
3743,11875,0.996393
3743,15161,0.995886
3743,5555,0.995871
3743,10992,0.995579
3743,11692,0.995579
3743,6766,0.995074
1641,22074,0.999198
1641,14553,0.998878
1641,15496,0.998646
1641,10260,0.998490
1641,16463,0.998361
1641,9953,0.998353
1641,5292,0.998191
1641,10765,0.998187
1641,17718,0.998115
1641,6611,0.998063
1641,23811,0.998053
1641,11692,0.997972
1641,13894,0.997958
1641,17300,0.997909
1641,4738,0.997717
1641,15207,0.997499
1641,4472,0.997262
1641,15477,0.997248
1641,21122,0.997145
1641,4656,0.997144
1151,11545,1.000000
1151,17119,1.000000
1151,11922,1.000000
1151,23398,1.000000
1151,11133,1.000000
1151,17476,0.999767
1151,10685,0.999663
1151,10655,0.998977
1151,1969,0.998850
1151,19919,0.998615
1151,6865,0.998594
1151,14758,0.998443
1151,11136,0.998160
1151,15620,0.998115
1151,7385,0.998115
1151,10611,0.998001
1151,15922,0.997992
1151,19052,0.997964
1151,5124,0.997940
1151,14631,0.997893
4997,6566,0.997262
4997,5272,0.997070
4997,5808,0.996067
4997,5606,0.995473
4997,5436,0.994832
4997,7303,0.994786
4997,10039,0.994620
4997,5009,0.993845
4997,8739,0.993631
4997,13081,0.992543
4997,5810,0.992357
4997,6590,0.992049
4997,8789,0.991837
4997,7673,0.991507
4997,15477,0.991436
4997,5591,0.990148
4997,9299,0.990090
4997,6813,0.988399
4997,5204,0.987379
4997,8807,0.985245
11254,13192,0.997402
11254,14958,0.997290
11254,12351,0.992093
11254,20103,0.992062
11254,12244,0.991484
11254,13648,0.988888
11254,16930,0.987135
11254,13678,0.985981
11254,16540,0.984869
11254,12541,0.977181
11254,12350,0.976957
11254,12362,0.975050
11254,13658,0.974215
11254,14748,0.973729
11254,15477,0.973329
11254,13046,0.961991
11254,12333,0.955771
11254,13228,0.953483
11254,13905,0.923870
11254,20023,0.902522
19566,26861,0.934880
19566,24624,0.924624
614,14156,1.000000
614,22665,0.999970
614,7462,0.998845
614,14275,0.998740
614,13336,0.998656
614,11474,0.998632
614,8410,0.998625
614,10685,0.998597
614,14079,0.998531
614,10232,0.998531
614,15590,0.998531
614,18776,0.998392
614,5887,0.998391
614,12633,0.998374
614,14724,0.998366
614,18877,0.998309
614,17192,0.998249
614,918,0.998210
614,2855,0.998210
614,31894,0.998115
13778,16540,0.992065
2144,5595,0.999713
2144,6532,0.999484
2144,5526,0.999025
2144,18532,0.998697
2144,20652,0.998671
2144,16072,0.998646
2144,6618,0.998642
2144,9324,0.998632
2144,12393,0.998499
2144,7507,0.998478
2144,15778,0.998404
2144,14378,0.998404
2144,11397,0.998176
2144,19014,0.998115
2144,10083,0.998115
2144,13046,0.997909
2144,13228,0.997869
2144,7388,0.997782
2144,6738,0.997779
2144,12184,0.997657
9135,14791,0.996558
9135,9586,0.985030
11280,11539,0.996067
11280,12150,0.995591
11280,12664,0.955492
11280,12838,0.951125
11280,16463,0.942529
11280,18814,0.938852
11280,12644,0.912368
7567,8108,0.976800
7567,8886,0.854693
14643,14644,0.984309
14643,24704,0.972462
2591,3131,1.000000
2591,11474,1.000000
2591,5773,0.994475
2591,3868,0.993987
2591,4065,0.993399
2591,4120,0.992915
2591,14233,0.992781
2591,9518,0.990992
2591,9959,0.990992
2591,5242,0.990992
2591,2696,0.986748
2591,3182,0.986054
2591,4321,0.984309
2591,3857,0.982225
2591,2603,0.981230
2591,2787,0.968897
2591,4319,0.961486
2591,5839,0.960585
2591,4269,0.951078
2591,2649,0.951044
4470,6739,0.999884
4470,11029,0.999070
4470,15679,0.998402
4470,11856,0.998222
4470,12020,0.998115
4470,9217,0.998072
4470,9188,0.997918
4470,16493,0.997880
4470,6176,0.997779
4470,8233,0.997375
4470,7879,0.996941
4470,12017,0.996249
4470,14633,0.996146
4470,5097,0.996068
4470,5015,0.995656
4470,5242,0.994925
4470,15557,0.994806
4470,10242,0.994765
4470,12333,0.994758
4470,17489,0.994536
4491,7673,1.000000
4491,4929,0.999958
4491,10043,0.999484
4491,4592,0.999484
4491,11899,0.998631
4491,10294,0.998291
4491,5362,0.998255
4491,10364,0.998115
4491,5516,0.997859
4491,4764,0.997375
4491,14233,0.995306
4491,11949,0.995179
4491,10501,0.994398
4491,9503,0.994135
4491,6394,0.993399
4491,8108,0.993266
4491,11982,0.993266
4491,6204,0.991837
4491,5436,0.991729
4491,8807,0.991103
2235,9713,1.000000
2235,4051,0.999928
2235,12631,0.999832
2235,12017,0.998638
2235,11337,0.998531
2235,13564,0.997958
2235,11842,0.997909
2235,6785,0.997417
2235,6924,0.997163
2235,16049,0.996802
2235,12333,0.996126
2235,10770,0.995910
2235,13728,0.995413
2235,6611,0.995268
2235,3881,0.995241
2235,7261,0.995222
2235,4481,0.995001
2235,9264,0.994884
2235,4929,0.994826
2235,8108,0.994692
734,4089,1.000000
734,6763,1.000000
734,11836,1.000000
734,3823,0.999927
734,3158,0.999884
734,13260,0.998383
734,10161,0.998322
734,11563,0.998319
734,6831,0.998115
734,5803,0.998115
734,12430,0.998024
734,7968,0.997940
734,9840,0.997909
734,10501,0.997869
734,19425,0.997821
734,22117,0.997780
734,2326,0.997717
