iIdx,jIdx,sim
12891,11623,0.107955
12891,12890,0.090909
12891,4016,0.088773
12891,13778,0.087108
12891,16537,0.084034
12891,5635,0.079630
12891,6990,0.077764
12891,9490,0.077626
12891,5906,0.077381
12891,20875,0.076087
12891,9588,0.074561
12891,11692,0.073643
12891,16344,0.071429
12891,8859,0.071197
12891,8348,0.070833
12891,24202,0.068571
12891,7073,0.067901
12891,3786,0.066886
12891,13039,0.066667
12891,18485,0.066406
23792,7942,0.200000
23792,8225,0.186441
23792,8719,0.160714
23792,8260,0.153846
23792,8363,0.152542
23792,8095,0.151515
23792,27108,0.150943
23792,8456,0.150685
23792,8572,0.150000
23792,8272,0.148649
23792,8551,0.147059
23792,8004,0.146341
23792,8691,0.145455
23792,8709,0.145455
23792,8532,0.145455
23792,7928,0.145161
23792,8629,0.142857
23792,8571,0.142857
23792,8681,0.142857
23792,8506,0.140625
25601,25592,0.625000
25601,25599,0.555556
25601,25603,0.416667
25601,32568,0.333333
25601,25593,0.333333
25601,25594,0.300000
25601,14035,0.300000
25601,32419,0.300000
25601,32413,0.300000
25601,32412,0.272727
25601,22874,0.250000
25601,29921,0.250000
25601,26682,0.250000
25601,14906,0.200000
25601,10667,0.176471
25601,14986,0.176471
25601,17691,0.166667
25601,20282,0.157895
25601,24937,0.142857
25601,15717,0.142857
3051,3052,0.211498
3051,1396,0.124097
3051,6337,0.121009
3051,1395,0.117927
3051,2187,0.110863
3051,1894,0.110129
3051,4411,0.108616
3051,1563,0.108527
3051,3205,0.108190
3051,352,0.106892
3051,2947,0.101439
3051,1165,0.100713
3051,3463,0.099894
3051,1067,0.098511
3051,4779,0.098226
3051,1514,0.097093
3051,1559,0.095278
3051,8759,0.095177
3051,1901,0.092485
3051,1701,0.091383
27229,14458,0.333333
27229,25594,0.300000
27229,24374,0.250000
27229,26671,0.200000
27229,25023,0.142857
27229,21738,0.142857
27229,6776,0.136364
27229,21649,0.129032
27229,17322,0.125000
27229,19704,0.125000
27229,21780,0.120000
27229,17691,0.120000
27229,25345,0.111111
27229,18773,0.107143
27229,23847,0.103448
27229,19642,0.103448
27229,22132,0.100000
27229,19883,0.097561
27229,22864,0.093750
27229,18317,0.093750
28419,28786,0.181818
28419,28386,0.130435
28419,11644,0.107143
28419,18178,0.098039
28419,19433,0.085714
28419,13331,0.083333
28419,7482,0.076923
28419,28816,0.076923
28419,24614,0.071429
28419,11577,0.067568
28419,7528,0.062500
28419,23078,0.058824
28419,7347,0.051724
28419,20171,0.051724
28419,6893,0.050847
28419,7525,0.048780
28419,13300,0.044776
28419,7422,0.042105
28419,20123,0.038961
28419,13259,0.037975
24297,14156,0.225806
24297,10764,0.217391
24297,27780,0.200000
24297,19810,0.166667
24297,19613,0.156863
24297,31174,0.153846
24297,10921,0.153846
24297,23454,0.151515
24297,25293,0.148148
24297,19919,0.147059
24297,17030,0.147059
24297,22015,0.142857
24297,19766,0.142857
24297,22585,0.142857
24297,13503,0.142857
24297,24307,0.142857
24297,22565,0.137931
24297,28202,0.137931
24297,14158,0.135593
24297,24326,0.133333
12026,18067,0.125000
12026,18801,0.115385
12026,10483,0.114130
12026,21909,0.113208
12026,9805,0.110465
12026,10631,0.110169
12026,12170,0.103825
12026,15948,0.103175
12026,19052,0.098592
12026,18366,0.096296
12026,19745,0.093750
12026,10477,0.091743
12026,15939,0.090278
12026,18085,0.089286
12026,18532,0.088235
12026,12774,0.086957
12026,17332,0.086614
12026,12153,0.085714
12026,5427,0.085470
12026,20986,0.085106
22603,19574,0.163934
22603,10692,0.142857
22603,15987,0.133333
22603,25155,0.125000
22603,22214,0.120000
22603,10724,0.115385
22603,14124,0.115183
22603,25213,0.113208
22603,12402,0.108696
22603,23455,0.104167
22603,20634,0.103448
22603,15655,0.101695
22603,26528,0.100000
22603,23609,0.098039
22603,6752,0.097222
22603,10735,0.095238
22603,20319,0.094340
22603,25194,0.093023
22603,25195,0.092593
22603,23363,0.092593
5887,12274,0.117647
5887,16463,0.094527
5887,4716,0.092409
5887,12297,0.085106
5887,16369,0.081218
5887,19183,0.078571
5887,12315,0.077586
5887,21236,0.074627
5887,20435,0.074324
5887,8564,0.071749
5887,16791,0.071429
5887,18273,0.066667
5887,12384,0.066465
5887,11280,0.065637
5887,9587,0.065327
5887,5912,0.065134
5887,4735,0.064182
5887,25608,0.064000
5887,8232,0.061303
5887,12255,0.060606
22197,22385,0.384615
22197,23579,0.333333
22197,25225,0.294118
22197,23621,0.294118
22197,23513,0.277778
22197,16814,0.250000
22197,26127,0.250000
22197,25192,0.238095
22197,31188,0.235294
22197,23618,0.235294
22197,25242,0.235294
22197,25253,0.235294
22197,25190,0.235294
22197,23584,0.222222
22197,25274,0.222222
22197,19552,0.222222
22197,15717,0.217391
22197,24847,0.214286
22197,26629,0.214286
22197,31881,0.214286
